Provincia,Poblacion,Superficie,Region,SE,FechaReporte,IA,SAV-C,SAV-P,SAV-Nexo,SAV-Total,SAV-Serotipos,CAVE-C,CAVE-P,Importados,CAVOP-C,CAVOP-P,Autoctonos,EnInv-C,EnInv-P,0,Total notificados para dengue,Diferencia Semana Anterior,Fallecidos,AcumFallecidos
Chubut,618994,224686,SUR,2,13/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,315
La Pampa,358428,143440,SUR,2,13/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Neuquén,664057,94078,SUR,2,13/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Río Negro,747610,203013,SUR,2,13/1/2020,0.00,0,0,0,0,Sin información,1,0,1,,,0,,,0,,0,,0
Santa Cruz,365698,243943,SUR,2,13/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Tierra del Fuego,176830,21571,SUR,2,13/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Centro,,,,2,13/1/2020,,0,0,0,0,,1,0,1,,,0,,,0,0,0,,0
Cuyo,,,,2,13/1/2020,,0,0,0,0,,1,0,1,,,0,,,0,0,0,,0
NEA,,,,2,13/1/2020,,0,0,0,0,,2,0,2,,,0,,,0,0,0,,0
NOA,,,,2,13/1/2020,,0,0,0,0,,5,0,5,,,0,,,0,0,0,,0
Sur,,,,2,13/1/2020,,0,0,0,0,,9,0,9,,,0,,,0,0,0,,0
Total PAIS,,,,2,13/1/2020,,0,0,0,0,,12,1,13,0,0,0,0,0,0,0,0,,0
Buenos Aires,17541141,307571,Centro,1,6/1/2020,0.03,1,4,0,5,Sin información,2,5,7,,,5,,,0,,5,,0
CABA,3075646,200,Centro,1,6/1/2020,0.10,1,2,0,3,Sin información,10,2,12,,,3,,,0,,3,,0
Córdoba,3760450,165321,Centro,1,6/1/2020,0.00,0,0,0,0,Sin información,1,1,2,,,0,,,0,,0,,0
Entre Ríos,1385961,78781,Centro,1,6/1/2020,0.00,0,0,0,0,Sin información,1,0,1,,,0,,,0,,0,,0
Santa Fe,3536418,133007,Centro,1,6/1/2020,0.00,0,0,0,0,Sin información,1,2,3,,,0,,,0,,0,,0
Mendoza,1990338,148827,Cuyo,1,6/1/2020,0.00,0,0,0,0,Sin información,0,1,1,,,0,,,0,,0,,0
San Juan,781217,89651,Cuyo,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
San Luis,508328,76748,Cuyo,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Chaco,1204541,99633,NEA,1,6/1/2020,0.25,0,3,0,3,Sin información,0,0,0,,,3,,,0,,3,,0
Corrientes,1120801,88199,NEA,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Formosa,605193,72066,NEA,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Misiones,1261294,29801,NEA,1,6/1/2020,1.90,17,7,0,24,Sin información,0,0,0,,,24,,,0,,24,,0
Catamarca,415438,102602,NOA,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Jujuy,770881,53219,NOA,1,6/1/2020,0.00,0,0,0,0,Sin información,1,1,2,,,0,,,0,,0,,0
La Rioja,393531,89680,NOA,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Salta,1424397,155488,NOA,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Santiago del Estero,978313,136351,NOA,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Tucuman,1694656,22524,NOA,1,6/1/2020,0.06,0,1,0,1,Sin información,0,0,0,,,1,,,0,,1,,315
Chubut,618994,224686,SUR,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,315
La Pampa,358428,143440,SUR,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Neuquén,664057,94078,SUR,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Río Negro,747610,203013,SUR,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Santa Cruz,365698,243943,SUR,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Tierra del Fuego,176830,21571,SUR,1,6/1/2020,0.00,0,0,0,0,Sin información,0,0,0,,,0,,,0,,0,,0
Centro,,,,1,6/1/2020,,0,0,0,0,,0,0,0,,,0,,,0,0,0,,0
Cuyo,,,,1,6/1/2020,,0,0,0,0,,0,0,0,,,0,,,0,0,0,,0
NEA,,,,1,6/1/2020,,0,0,0,0,,0,0,0,,,0,,,0,0,0,,0
NOA,,,,1,6/1/2020,,0,0,0,0,,0,0,0,,,0,,,0,0,0,,0
Sur,,,,1,6/1/2020,,0,0,0,0,,0,0,0,,,0,,,0,0,0,,0
Total PAIS,,,,1,6/1/2020,,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,,0
